workload,run_id,items,roundtrips,duration_ms
chatty,0f2e12bb-a954-4aa9-9124-3cebf21f88ba,500,1003,84611
chatty,9e36b0e3-0203-467e-a6b5-d9b9e58c6339,500,1003,84937
chatty,54f7f956-81ce-4489-9f3c-4d7fbb9b4374,500,1003,86825
chunky,2381f6a0-6347-466c-a9c6-56d32b715b74,500,4,1120
chunky,19ab1b8c-3c06-4c8d-962b-762f6deec9c2,500,4,1122
chunky,6866f4f7-d840-4947-8f3c-38deb3656965,500,4,1249
