workload,run_id,items,roundtrips,duration_ms
chatty,9b767786-9199-4332-9a12-e4e93b3a462f,500,1003,2376
chatty,41994dc8-15ac-4e4d-9540-45faedfd9ffd,500,1003,2815
chatty,d8a72bf2-7902-4e4a-a637-41417cb80a0c,500,1003,2695
chunky,2f2db275-6eca-4402-874a-d69736650318,500,4,81
chunky,db0cbc0f-93ca-4a4b-b204-500bf13de630,500,4,65
chunky,b938eeb5-88a3-4e8e-9a11-680902900a08,500,4,58
